Driver,Season,AvgGapToLeaderSec
ALB,2023,2.227866666666666
ALB,2024,1.5546666666666695
ALO,2023,1.5062105263157886
ALO,2024,1.6161428571428555
BEA,2024,1.035499999999999
BOT,2023,2.9724999999999984
BOT,2024,2.7948000000000035
COL,2024,2.6269999999999953
DEV,2023,1.595666666666664
GAS,2023,2.3016470588235287
GAS,2024,1.8679000000000046
HAM,2023,1.3716499999999996
HAM,2024,1.2929047619047618
HUL,2023,2.1680000000000015
HUL,2024,2.2368181818181823
LAW,2023,4.13900000000001
LAW,2024,2.1625000000000014
LEC,2023,2.218722222222223
LEC,2024,1.129619047619048
MAG,2023,2.5861666666666685
MAG,2024,2.4920833333333348
NOR,2023,1.9011176470588245
NOR,2024,0.8820909090909094
OCO,2023,2.4356923076923067
OCO,2024,1.7651428571428605
PER,2023,1.3685263157894734
PER,2024,1.1633999999999987
PIA,2023,1.5365833333333339
PIA,2024,1.2132916666666678
RIC,2023,2.8627499999999984
RIC,2024,2.5252000000000008
RUS,2023,1.7412941176470582
RUS,2024,1.2201904761904767
SAI,2023,1.533222222222223
SAI,2024,0.9925000000000004
SAR,2023,3.1545714285714275
SAR,2024,3.37133333333333
STR,2023,2.0041428571428574
STR,2024,2.1713333333333305
TSU,2023,2.2160833333333314
TSU,2024,2.4708749999999977
VER,2023,0.7223181818181814
VER,2024,0.8932727272727267
ZHO,2023,2.5576000000000008
ZHO,2024,1.8753999999999962
