Driver,LapTime,TotalTimeSeconds,TimeGapToLeader,Season,Event,Round
VER,0 days 00:01:36.373000,96.373,0.0,2023,Bahrain Grand Prix,1
GAS,0 days 00:01:38.147000,98.147,1.774000000000001,2023,Bahrain Grand Prix,1
PER,0 days 00:01:36.558000,96.558,0.18500000000000227,2023,Bahrain Grand Prix,1
ALO,0 days 00:01:37.422000,97.422,1.0489999999999924,2023,Bahrain Grand Prix,1
STR,0 days 00:01:37.991000,97.991,1.617999999999995,2023,Bahrain Grand Prix,1
TSU,0 days 00:01:38.246000,98.246,1.8729999999999905,2023,Bahrain Grand Prix,1
ALB,0 days 00:01:38.137000,98.137,1.7639999999999958,2023,Bahrain Grand Prix,1
HAM,0 days 00:01:38.255000,98.255,1.8819999999999908,2023,Bahrain Grand Prix,1
SAI,0 days 00:01:38.021000,98.021,1.6479999999999961,2023,Bahrain Grand Prix,1
RUS,0 days 00:01:37.767000,97.767,1.3939999999999912,2023,Bahrain Grand Prix,1
BOT,0 days 00:01:38.407000,98.407,2.033999999999992,2023,Bahrain Grand Prix,1
VER,0 days 00:01:31.906000,91.906,0.0,2023,Saudi Arabian Grand Prix,2
GAS,0 days 00:01:33.392000,93.392,1.48599999999999,2023,Saudi Arabian Grand Prix,2
PER,0 days 00:01:33.691000,93.691,1.7849999999999966,2023,Saudi Arabian Grand Prix,2
ALO,0 days 00:01:32.240000,92.24,0.333999999999989,2023,Saudi Arabian Grand Prix,2
LEC,0 days 00:01:36.267000,96.267,4.36099999999999,2023,Saudi Arabian Grand Prix,2
SAR,0 days 00:01:36.175000,96.175,4.268999999999991,2023,Saudi Arabian Grand Prix,2
MAG,0 days 00:01:34.043000,94.043,2.1370000000000005,2023,Saudi Arabian Grand Prix,2
DEV,0 days 00:01:33.925000,93.925,2.0189999999999912,2023,Saudi Arabian Grand Prix,2
TSU,0 days 00:01:33.931000,93.931,2.0249999999999915,2023,Saudi Arabian Grand Prix,2
ZHO,0 days 00:01:34.105000,94.105,2.198999999999998,2023,Saudi Arabian Grand Prix,2
HUL,0 days 00:01:33.780000,93.78,1.8739999999999952,2023,Saudi Arabian Grand Prix,2
OCO,0 days 00:01:34.312000,94.312,2.4059999999999917,2023,Saudi Arabian Grand Prix,2
NOR,0 days 00:01:35.307000,95.307,3.4009999999999962,2023,Saudi Arabian Grand Prix,2
HAM,0 days 00:01:33.024000,93.024,1.117999999999995,2023,Saudi Arabian Grand Prix,2
SAI,0 days 00:01:32.822000,92.822,0.9159999999999968,2023,Saudi Arabian Grand Prix,2
RUS,0 days 00:01:32.433000,92.433,0.527000000000001,2023,Saudi Arabian Grand Prix,2
PIA,0 days 00:01:34.618000,94.618,2.711999999999989,2023,Saudi Arabian Grand Prix,2
VER,0 days 00:01:20.671000,80.671,0.43600000000000705,2023,Australian Grand Prix,3
GAS,0 days 00:01:21.098000,81.098,0.8629999999999995,2023,Australian Grand Prix,3
PER,0 days 00:01:20.235000,80.235,0.0,2023,Australian Grand Prix,3
ALO,0 days 00:01:20.476000,80.476,0.24099999999999966,2023,Australian Grand Prix,3
STR,0 days 00:01:20.957000,80.957,0.7219999999999942,2023,Australian Grand Prix,3
HUL,0 days 00:01:21.726000,81.726,1.4909999999999997,2023,Australian Grand Prix,3
OCO,0 days 00:01:21.338000,81.338,1.1029999999999944,2023,Australian Grand Prix,3
NOR,0 days 00:01:21.259000,81.259,1.024000000000001,2023,Australian Grand Prix,3
HAM,0 days 00:01:20.652000,80.652,0.4170000000000016,2023,Australian Grand Prix,3
SAI,0 days 00:01:20.467000,80.467,0.23199999999999932,2023,Australian Grand Prix,3
PIA,0 days 00:01:21.335000,81.335,1.0999999999999943,2023,Australian Grand Prix,3
VER,0 days 00:01:44.232000,104.232,0.8619999999999948,2023,Azerbaijan Grand Prix,4
GAS,0 days 00:01:45.899000,105.899,2.5289999999999964,2023,Azerbaijan Grand Prix,4
PER,0 days 00:01:44.926000,104.926,1.5559999999999974,2023,Azerbaijan Grand Prix,4
ALO,0 days 00:01:44.273000,104.273,0.9029999999999916,2023,Azerbaijan Grand Prix,4
LEC,0 days 00:01:45.409000,105.409,2.0390000000000015,2023,Azerbaijan Grand Prix,4
STR,0 days 00:01:46.580000,106.58,3.2099999999999937,2023,Azerbaijan Grand Prix,4
